t,o,h,l,c,v
1706076720,44.95,45,44.8,44.85,86777
1706076900,44.9,44.9,44.75,44.75,118200
1706077080,44.8,44.85,44.75,44.75,93174
1706077260,44.8,44.85,44.75,44.75,99980
1706077440,44.8,44.95,44.75,44.9,94467
1706077620,44.9,44.95,44.8,44.9,186386
1706077800,44.9,44.9,44.7,44.7,291393
1706077980,44.75,44.8,44.6,44.6,113697
1706078160,44.6,44.7,44.55,44.6,115910
1706078340,44.6,44.8,44.55,44.7,272982
1706078520,44.7,44.75,44.6,44.7,400131
1706078700,44.75,44.75,44.7,44.75,20723
1706078880,44.75,44.9,44.7,44.9,181729
1706079060,44.9,44.9,44.8,44.85,148396
1706079240,44.9,44.95,44.8,44.9,220414
1706079420,44.85,44.9,44.65,44.8,288809
1706079600,44.8,44.8,44.65,44.65,77696
1706079780,44.65,44.7,44.55,44.65,121289
1706079960,44.65,44.7,44.55,44.55,119052
1706080140,44.55,44.7,44.5,44.65,151616
1706080320,44.65,44.8,44.65,44.7,94823
1706080500,44.7,44.85,44.7,44.85,115303
1706080680,44.85,44.95,44.8,44.95,246474
1706080860,44.9,45.05,44.9,45,279895
1706081040,45,45.3,44.9,45.3,405321
1706081220,45.3,45.5,45.25,45.45,625581
1706081400,45.4,45.75,45.4,45.55,886392
1706081580,45.55,45.65,45.45,45.55,451728
1706081760,45.55,45.65,45.5,45.6,267579
1706081940,45.6,45.6,45.4,45.4,207121
1706082120,45.5,46.6,45.4,46.55,5032913
1706082300,46.55,46.85,46.1,46.5,3964385
1706082480,46.55,46.85,46.45,46.7,1829980
1706082660,46.7,46.7,46.2,46.5,1102798
1706082840,46.5,46.5,46.1,46.2,904239
1706083020,46.2,46.25,45.85,45.9,710528
1706083200,45.9,46,45.75,45.8,1084711
1706083380,45.85,45.85,45.6,45.6,530524
1706083560,45.6,45.8,45.55,45.8,730894
1706083740,45.75,45.75,45.6,45.7,250344
1706083920,45.65,45.85,45.65,45.75,237865
1706084100,45.75,45.85,45.7,45.8,352360
1706084280,45.8,45.85,45.7,45.75,243921
1706084460,45.75,45.85,45.65,45.65,263646
1706084640,45.7,45.7,45.55,45.65,175348
1706084820,45.65,45.7,45.55,45.65,239198
1706085000,45.7,46,45.65,45.95,520371
1706085180,45.9,45.95,45.85,45.9,197594
1706085360,45.85,45.85,45.7,45.8,211149
1706085540,45.8,45.8,45.7,45.75,130565
1706085720,45.85,45.95,45.8,45.9,196266
1706085900,45.9,45.95,45.85,45.9,170843
1706086080,45.9,46.05,45.85,46.05,305645
1706086260,46.1,46.15,45.95,46.1,347723
1706086440,46.05,46.05,45.9,45.9,171708
1706086620,45.95,46,45.9,45.95,62484
1706086800,45.9,46.05,45.9,46,262849
1706086980,46,46.1,45.95,46.1,175177
1706087160,46.05,46.15,45.9,45.9,170468
1706087340,45.95,45.95,45.85,45.9,147635
1706087520,45.95,45.95,45.85,45.9,88676
1706087700,45.85,45.9,45.6,45.65,555510
1706087880,45.65,45.75,45.55,45.7,452075
1706088060,45.7,45.8,45.7,45.75,155668
1706088240,45.7,45.8,45.7,45.75,172951
1706088420,45.7,45.85,45.65,45.75,217864
1706088600,45.75,45.9,45.75,45.8,180452
1706088780,45.8,46.15,45.7,45.95,1035715
1706088960,46,46.15,46,46.1,597016
1706089140,46.1,46.15,46.05,46.05,393070
1706089320,46.05,46.2,46.05,46.15,576307
1706089500,46.15,46.2,46.1,46.1,414140
1706089680,46.05,46.2,46.05,46.2,594674
1706089860,46.15,46.2,46.05,46.05,368283
1706090040,46.05,46.15,46,46,553735
1706090220,45.95,46.05,45.9,46,666679
1706090400,46.05,46.05,46.05,46.05,0
